"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"3045834",-122.290233817,37.862815214,2007,"0103","0","5","4","09",0,1,"A",,"Y",,,,1200,1,"D","G","A","RT 123","CHANNING WY",0,,"Y","2007-06-04",103,"2007-01-19",920,"112","20","5","6","0","0",,"0","015","-","Y","ALA",4,123,"-","-",2.7,"I","6","S","N",2,"A","-",21804,"A","N","-","H","-","A","A","0","Y","-",,0,0,1,0,0,0,1,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045836",-122.253115031,37.857028145,2007,"0103","0","5","3","08",0,2,"A",,,,,,1500,1,"D","C","A","BENVENUE ST","RT 13",194,"N","N","2007-06-01",103,"2007-01-05",1204,"77","36","5","6","0","0",,"0","009","-","Y","ALA",4,13,"-","-",11.3,"I","6","N","Y",2,"A","-",22107,,"N","A","H","-","A","D","0","Y","A",,0,1,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045838",0,0,2007,"0103","0","5","2","01",0,1,"A",,,,,"Y",2400,1,"C","C","A","EAST SHORE HWY","PAGE ST",420,"N","N","2007-05-17",103,"2007-01-19",2105,"112","20","5","6","0","0",,"0","017","-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","N","A","H","-","C","D","0","Y","A","07",1,0,0,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045839",-122.26616315,37.8523750305,2007,"0103","0","4","2","10",0,3,"A","Y",,,,,2400,1,"-","B","B","SHATTUCK AV","WOOLSEY ST",0,,"Y","2007-05-17",103,"2007-01-11",2326,"43","39","5","6","0","0",,"0","010","-","N",,0,0,,,0,,,,"Y",4,"A","-",21950,"A","N","A","H","-","C","B","0","Y","A",,3,0,0,0,3,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045840",-122.279192815,37.853269693,2007,"0103","0","5","4","09",0,4,"A",,,,,,1500,1,"A","C","A","RT 13","SACRAMENTO ST",0,,"Y","2007-05-31",103,"2007-01-05",1242,"141","33","5","6","0","0",,"0","013","-","Y","ALA",4,13,"-","-",12.76,"I","5","N","Y",2,"A","-",21801,"A","N","A","H","-","A","A","0","Y","A","01",0,0,4,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045869",-122.268551045,37.8803138733,2007,"0103","0","2","3","21",0,1,"B","Y",,,,,1200,1,"G","B","E","VINE ST","WALNUT ST",90,"W","N","2007-05-17",103,"2007-01-30",1036,"32","17","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"A","-",22106,,"N","A","H","-","A","D","0","Y","D","22",0,1,0,0,1,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045873",0,0,2007,"0103","0","3","3","08",0,1,"A",,,,,,1200,1,"D","C","A","ADELLE ST","62ND ST",0,,"Y","2007-05-17",103,"2007-01-03",1101,"6","24","5","6","0","0",,"0","011","B","N",,0,0,,,0,,,,"Y",2,"A","-",22107,,"N","A","H","-","A","A","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045881",-122.28330046,37.8809700012,2007,"0103","0","1","4","08",0,1,"A",,,,,,1800,1,"E","I","A","SACRAMENTO ST","HOPKINS ST",2,"N","N","2007-05-23",103,"2007-01-01",1521,"128","19","5","6","0","0",,"0","018","B","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045889",-122.273453153,37.8750648499,2007,"0103","0","2","4","09",0,1,"A",,,,,,1200,1,"D","C","A","MARTIN LUTHER KING JR WY","FRANCISCO ST",0,,"Y","2007-05-17",103,"2007-01-02",950,"126","23","5","6","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",21802,"A","N","A","H","-","A","A","0","Y","A",,0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3068260",-122.296999544,37.840813949,2007,"0103","1","5","4","03",0,2,"A",,,,,,2100,1,"C","C","A","RT 80","POWELL ST",528,"E","N","2007-06-05",9370,"2007-01-12",1815,"01396",,"2","6","0","1",,"2","080","-","Y","ALA",4,80,"-","-",3.95,"H","-","E","N",2,"A","-",22350,,"M","A","H","-","D","D","6","Y","D","22",0,0,2,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
