"iso_a3","country","year","region","income_group","gdp_pc","life_expect","population"
"TUV","Tuvalu",2013,"East Asia & Pacific","Upper middle income",3645.1579296558,,9876
"TZA","Tanzania",2013,"Sub-Saharan Africa","Low income",1775.05858032604,,49253126
"UGA","Uganda",2013,"Sub-Saharan Africa","Low income",1413.15463013282,,37578876
"UKR","Ukraine",2013,"Europe & Central Asia","Lower middle income",8789.98200051008,,45489600
"URY","Uruguay",2013,"Latin America & Caribbean","High income",19594.3695607622,,3407062
"USA","United States",2013,"North America","High income",53041.9814055623,,316128839
"UZB","Uzbekistan",2013,"Europe & Central Asia","Lower middle income",5168.28603457276,,30241100
"VCT","St. Vincent and the Grenadines",2013,"Latin America & Caribbean","Upper middle income",10490.6041669164,,109373
"VEN","Venezuela, RB",2013,"Latin America & Caribbean","Upper middle income",18198.3700172414,,30405207
"VIR","Virgin Islands (U.S.)",2013,"Latin America & Caribbean","High income",,,104737
"VNM","Vietnam",2013,"East Asia & Pacific","Lower middle income",5294.43986933333,,89708900
"VUT","Vanuatu",2013,"East Asia & Pacific","Lower middle income",2990.91682998287,,252763
"WSM","Samoa",2013,"East Asia & Pacific","Lower middle income",5768.98576875814,,190372
"YEM","Yemen, Rep.",2013,"Middle East & North Africa","Lower middle income",3959.29188263281,,24407381
"ZAF","South Africa",2013,"Sub-Saharan Africa","Upper middle income",12506.7494760135,,52981991
"ZMB","Zambia",2013,"Sub-Saharan Africa","Lower middle income",3925.46238739217,,14538640
"ZWE","Zimbabwe",2013,"Sub-Saharan Africa","Low income",1832.08324432316,,14149648
