"Country Name","Country Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"American Samoa","ASM",,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda","ATG","11111.5740553901","11619.9885629131","11792.6744636448","12442.7957641159","13170.2712129998","12544.3260713347","13266.2966292486","13763.2219742756","14139.329443295","14572.0030612097","15338.9888927683","14946.0302159395","15408.6069772182","16570.3779347464","17683.047246113","19167.5217653463","22189.0051200427","24530.9481257343","24745.925908006","21694.5702448459","20163.3845989115","19936.9541984483","20741.6498724572","20976.5059543774",
"Australia","AUS","17417.6915072011","17804.7906144447","18265.9456939694","19225.3815840468","20082.4311119628","21046.0770255521","22077.200673094","22907.7024135916","24297.2285784276","25281.2305960582","26339.477332698","27445.3573252342","28703.2045597043","29795.0079638902","31327.2352007153","32587.0466034707","34284.5740551207","36595.4124247308","37511.4639959809","40227.4640922537","39066.1446846416","41670.62689601","42815.6619645633","43550.0818923038",
"Austria","AUT","19322.5782533166","20447.2319228673","21117.6510616671","21555.6161748145","22456.7085117668","23500.7843089153","24373.9198959917","25021.6425688533","26223.926272724","27186.2772462813","28938.7361078409","29060.7488490656","30463.9852653608","31325.2195296191","32830.8701079432","33626.3868321805","36615.3404574677","38022.5536897189","39782.9198400918","39263.4249951636","40396.5316175577","42887.6862069015","43253.8196739037","44149.2129944003",
"Azerbaijan","AZE","5514.40795527621","5570.7867827074","4343.80306534224","3368.31824756222","2725.25006528171","2425.71264635879","2476.98450899664","2639.89822475637","2907.65909357576","3139.74796336538","3538.33270957454","3947.02210515343","4399.5364837036","4952.38702310754","5558.26198613332","7177.23653111875","9841.42779934866","12490.7764796163","13813.4956474397","14916.8290509165","15643.0406891139","15754.1523626148","16165.9893337965","17139.2877347695",
"Burundi","BDI","680.477332040131","719.768000516231","726.816953894241","683.61687356173","659.484508060114","610.190014009612","563.948375069439","557.822475676783","583.50300303608","577.122455481905","573.866950444409","584.62210595335","602.52642379618","588.109621872542","612.654235034655","616.678792306931","647.192778212067","672.279629504093","695.30352665533","700.397707423163","711.324239074046","731.329864172999","749.725417259072","770.617759560868",
"Belgium","BEL","18706.5023622649","19610.0101417439","20281.7553815862","20484.5149138118","21529.2336790694","22455.3825375095","22824.7627674484","23850.8683393464","24382.9633161942","25355.0576630527","27682.6083710327","28544.2626444794","30046.3824549008","30301.3911682514","31163.3294847153","32189.3513309627","34268.03005837","35606.9705594157","37024.8261602365","36904.3090834961","38148.2222769412","39839.5093156445","39764.2989045736","40338.1460668302",
"Benin","BEN","880.896623940491","915.481011672183","928.973024234158","969.768367256982","974.737574790375","1020.16635198292","1050.26493455855","1096.64940881591","1119.85351603705","1162.08009990323","1208.80656149571","1272.46510698462","1305.50154835869","1338.00747586039","1371.56971011571","1409.92858292481","1461.1381941381","1521.76031590909","1581.08411286031","1588.3886542373","1602.01762501198","1644.46447652592","1716.03228087099","1790.96197491178",
"Burkina Faso","BFA","540.911983308981","593.49349337331","592.273924573729","610.587034966795","614.787298092694","645.51738766098","709.8206062677","746.524911162276","787.408541228291","833.905365709261","844.211561259107","894.369047182686","927.621206364575","990.759797081902","1032.89438515838","1124.90357009365","1202.10186036888","1241.42824076815","1300.30624391466","1310.26259168023","1390.3949955299","1435.3593643803","1554.56700410214","1634.02018861703",
"Bangladesh","BGD","691.498713395253","721.240306596171","757.655980959492","793.755579539596","825.994968943534","866.301313767886","903.808600976161","949.069805843496","989.455258326225","1032.30289808339","1098.10189658906","1161.90914417306","1211.38400930081","1280.16791446076","1377.45530632519","1486.30453082478","1614.00917454009","1744.2184197653","1869.06787105238","1971.16245503019","2093.39045351444","2251.80643054779","2405.15978780386","2557.40593373509",
