HRR,HRR_BDY_I,State,pc_psa,incidence,prostatectomy,radiation,hormone,no_treat
Youngstown,217,OH,27.7,6.0,223.7,266.7,373.3,333.3
Lawton,218,OK,20.9,5.5,,,,
Oklahoma City,219,OK,33.2,7.9,209.4,282.5,387.1,284.5
Tulsa,220,OK,40.1,4.4,71.7,290.6,318.9,374.5
Bend,221,OR,28.2,5.6,,,,
Eugene,222,OR,37.5,10.7,235.0,275.6,410.0,222.5
Medford,223,OR,27.5,6.6,251.0,226.3,423.8,298.7
Portland,224,OR,24.1,6.8,299.9,241.9,295.6,388.0
Salem,225,OR,28.0,4.1,,,,
Allentown,226,PA,29.5,6.9,134.5,269.8,412.8,282.4
Altoona,227,PA,13.0,7.6,211.7,302.5,588.1,
Danville,228,PA,12.7,8.7,112.4,153.1,519.7,309.8
Erie,229,PA,19.0,14.1,129.8,219.3,435.3,329.4
Harrisburg,230,PA,24.5,4.9,163.6,245.4,412.5,295.7
Johnstown,231,PA,18.1,5.4,,,,
Lancaster,232,PA,18.4,7.7,151.4,231.5,263.5,486.0
Philadelphia,233,PA,42.5,5.6,159.1,294.9,308.2,345.5
Pittsburgh,234,PA,14.9,9.2,108.6,339.9,397.8,223.9
Reading,235,PA,20.5,3.9,,310.2,356.3,292.1
Sayre,236,PA,21.8,8.0,,393.4,343.1,
Scranton,237,PA,20.4,10.2,128.4,159.5,555.6,287.8
Wilkes-Barre,238,PA,20.1,13.2,134.8,382.6,431.5,157.4
York,239,PA,10.7,6.2,,328.3,356.6,301.5
Providence,240,RI,25.1,5.5,92.3,113.6,409.2,448.6
Charleston,241,SC,43.4,8.1,124.6,187.3,257.5,501.7
Columbia,242,SC,33.5,8.9,82.1,259.4,301.4,399.2
Florence,243,SC,44.3,8.7,,394.2,315.6,278.8
Greenville,244,SC,35.3,5.1,126.5,199.9,412.7,375.0
Spartanburg,245,SC,37.9,4.4,,,,462.0
Rapid City,246,SD,32.6,2.8,,,,
Sioux Falls,247,SD,36.5,9.8,283.0,248.6,411.4,287.5
Chattanooga,248,TN,48.0,6.1,280.8,235.1,468.2,259.1
Jackson,249,TN,44.2,9.4,370.8,,513.9,328.4
Johnson City,250,TN,32.2,5.0,,,,434.1
Kingsport,251,TN,35.7,5.7,178.2,379.5,336.1,267.2
Knoxville,252,TN,45.1,4.0,231.7,197.0,328.1,406.3
Memphis,253,TN,45.6,15.9,375.3,179.3,425.4,311.4
Nashville,254,TN,39.3,5.7,301.0,183.1,404.7,339.7
Abilene,255,TX,30.3,3.9,291.7,,380.4,351.8
Amarillo,256,TX,36.3,4.8,,,480.1,348.1
Austin,257,TX,43.7,4.8,215.7,172.8,348.0,459.5
Beaumont,258,TX,39.2,8.7,216.2,355.4,283.3,340.0
Bryan,259,TX,28.4,4.0,,,,
Corpus Christi,260,TX,47.3,5.0,,,374.5,458.0
Dallas,261,TX,49.9,5.1,136.2,290.0,344.9,345.3
El Paso,262,TX,32.1,8.3,113.3,378.8,332.0,239.6
Fort Worth,263,TX,45.7,7.5,90.3,165.8,324.9,456.3
Harlingen,264,TX,48.3,2.2,,,,612.2
Houston,265,TX,40.6,9.7,170.3,258.4,309.9,381.3
