iso3c,year,gdp_percap
AZE,2001.0,3942.08488219485
AZE,2012.0,16180.8871503048
AZE,1992.0,4334.43366410288
AZE,2003.0,4945.90791637216
AZE,1991.0,5558.81841314857
AZE,2002.0,4393.96719931842
AZE,1993.0,3361.03549662053
AZE,2005.0,7169.15043103855
AZE,2004.0,5551.44884183019
BIH,2009.0,8793.37400451033
BIH,1996.0,2332.64702672862
BIH,2008.0,8822.59887944928
BIH,1995.0,1190.90132553163
BIH,2010.0,9042.10622634554
BIH,2e3,4494.59810752216
BIH,1998.0,3760.18325404826
BIH,1994.0,938.375265778724
BIH,1999.0,4174.83975005299
BIH,2012.0,9691.69573908982
BIH,2007.0,8018.74648504795
BIH,2011.0,9523.10675153913
BIH,2006.0,7270.55915917939
BIH,1992.0,
BIH,1997.0,3214.88953961175
BIH,1993.0,
BIH,2005.0,6365.86629091876
BIH,2002.0,5070.58602110744
BIH,2013.0,10202.7616074878
BIH,1990.0,
BIH,2003.0,5295.30371189458
BIH,1991.0,
BIH,2001.0,4706.56430036037
BIH,2015.0,10851.7186290018
BIH,2004.0,5774.6405740399
BIH,2014.0,10472.717494029
BRB,1998.0,10592.5025647155
BRB,2008.0,15446.6411686752
BRB,2e3,11445.8794324354
BRB,1999.0,10750.6893507949
BRB,2006.0,14563.1748138783
BRB,2012.0,15680.7272905829
BRB,2001.0,11393.775589974
BRB,2011.0,15404.8013543766
BRB,2014.0,16136.5647641399
BRB,2007.0,15153.1485385022
BRB,2002.0,11626.1468743732
BRB,2013.0,15870.4576454958
BRB,1997.0,10138.9872600217
BRB,2015.0,16405.7625999126
BRB,1994.0,8727.49487425636
BRB,1990.0,8595.25056101723
BRB,2009.0,14874.632388653
BRB,2005.0,13421.2514143603
BRB,1992.0,8175.11607609603
BRB,1995.0,9057.29734688979
BRB,2010.0,15035.4176903913
BRB,1991.0,8505.34347388453
BRB,1996.0,9553.1768331377
BRB,2003.0,12080.6470870423
BRB,1993.0,8407.49559225538
BRB,2004.0,12549.1937057641
BGD,1990.0,834.048208314477
BGD,1998.0,1185.98771677334
BGD,1997.0,1138.93429865409
BGD,2014.0,3138.24245715061
BGD,2013.0,2942.373186515
BGD,2001.0,1375.75911356803
BGD,1991.0,871.079876567099
BGD,2002.0,1424.31223331065
BGD,2015.0,3339.58928290928
BGD,2009.0,2273.16420141086
BGD,2011.0,2579.33504808833
BGD,1999.0,1235.14751519122
BGD,2e3,1304.44235793031
BGD,1993.0,963.303479112692
BGD,1996.0,1094.56769345665
BGD,2010.0,2401.71873977807
BGD,1992.0,918.454868737846
BGD,2006.0,1871.00013546296
BGD,2003.0,1495.5292207013
BGD,2004.0,1591.40438931671
BGD,1995.0,1050.6544995387
BGD,1994.0,1000.28376306561
BGD,2012.0,2764.78192830626
BGD,2007.0,2031.77852150986
BGD,2008.0,2171.6297284589
BGD,2005.0,1724.42770760079
BEL,1992.0,20337.6584623719
BEL,2015.0,45757.4355078632
BEL,1994.0,21588.3207865785
BEL,1995.0,22516.9408115149
BEL,1993.0,20540.8628201245
BEL,1990.0,18757.7874821329
BEL,2014.0,44746.8518678043
BEL,2002.0,30482.7846512136
BEL,2006.0,35406.6336341747
BEL,2004.0,32260.7512984724
BEL,1991.0,19664.2244843568
BEL,2008.0,38133.5014644659
BEL,2003.0,31054.5886252766
BEL,2007.0,36858.139853279
BEL,2010.0,40129.3713780553
BEL,2001.0,29024.9516446598
BEL,1996.0,22892.261513385
BEL,2005.0,33332.3313498604
BEL,1998.0,24539.0062377711
BEL,2013.0,43489.4015973285
BEL,2e3,27966.9388039373
BEL,2009.0,38047.6881795246
BEL,1997.0,23910.8274528408
BEL,2011.0,41248.725342013
BEL,2012.0,42354.6314854002
BEL,1999.0,25642.2616549851
BFA,2002.0,930.091400421234
BFA,1992.0,597.554203006461
