"sch_code","county","pub_priv","district","school","enrollment","complete","start_year"
6001473,"ALAMEDA","PUBLIC","NEWARK UNIFIED","H. A. SNOW ELEMENTARY",52,51,2015
6001481,"ALAMEDA","PUBLIC","NEWARK UNIFIED","JAMES A. GRAHAM ELEMENTARY",58,57,2015
6001499,"ALAMEDA","PUBLIC","NEWARK UNIFIED","JAMES L. BUNKER ELEMENTARY",82,81,2015
6001507,"ALAMEDA","PUBLIC","NEWARK UNIFIED","JOHN F. KENNEDY ELEMENTARY",48,47,2015
6001523,"ALAMEDA","PUBLIC","NEWARK UNIFIED","LINCOLN ELEMENTARY",85,83,2015
6001531,"ALAMEDA","PUBLIC","NEWARK UNIFIED","LOUIS MILANI ELEMENTARY",37,33,2015
111476,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ACHIEVE ACADEMY",141,133,2015
6002273,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ACORN WOODLAND ELEMENTARY",52,52,2015
6001630,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ALLENDALE ELEMENTARY",81,79,2015
114363,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","AMERICAN INDIAN PUBLIC CHARTER SCHOOL II",42,38,2015
6118608,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ASCEND",48,44,2015
109819,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ASPIRE BERKLEY MAYNARD ACADEMY",63,61,2015
128413,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ASPIRE COLLEGE ACADEMY",48,47,2015
120188,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ASPIRE ERES ACADEMY",22,22,2015
6117568,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ASPIRE MONARCH ACADEMY",66,62,2015
130732,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ASPIRE TRIUMPH TECHNOLOGY ACADEMY",45,45,2015
6001655,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","BELLA VISTA ELEMENTARY",97,93,2015
6002075,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","BRIDGES ACADEMY",114,108,2015
6001663,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","BROOKFIELD ELEMENTARY",79,77,2015
6001689,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","BURCKHALTER ELEMENTARY",55,51,2015
6001697,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","CARL B. MUNCK ELEMENTARY",49,47,2015
131672,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","CASTLEMONT PRIMARY ACADEMY",47,43,2015
6001648,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","CHABOT ELEMENTARY",89,85,2015
6001739,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","CLEVELAND ELEMENTARY",72,68,2015
