district,sch_code,county,pub_priv,school,enrollment,complete,start_year
FREMONT UNIFIED,6000830,ALAMEDA,PUBLIC,VALLEJO MILL ELEMENTARY,96,95,2015
FREMONT UNIFIED,6089619,ALAMEDA,PUBLIC,WARWICK ELEMENTARY,144,143,2015
HAYWARD UNIFIED,6000889,ALAMEDA,PUBLIC,BOWMAN ELEMENTARY,45,43,2015
HAYWARD UNIFIED,6000905,ALAMEDA,PUBLIC,BURBANK ELEMENTARY,172,160,2015
HAYWARD UNIFIED,6000913,ALAMEDA,PUBLIC,CHERRYLAND ELEMENTARY,116,106,2015
HAYWARD UNIFIED,6000921,ALAMEDA,PUBLIC,EAST AVENUE ELEMENTARY,90,81,2015
HAYWARD UNIFIED,6090583,ALAMEDA,PUBLIC,EDEN GARDENS ELEMENTARY,63,61,2015
HAYWARD UNIFIED,6000947,ALAMEDA,PUBLIC,ELDRIDGE ELEMENTARY,39,39,2015
HAYWARD UNIFIED,6000962,ALAMEDA,PUBLIC,FAIRVIEW ELEMENTARY,110,107,2015
HAYWARD UNIFIED,6113815,ALAMEDA,PUBLIC,FAITH RINGGOLD SCHOOL OF ARTS AND SCIENCE,10,10,2015
HAYWARD UNIFIED,6000988,ALAMEDA,PUBLIC,GLASSBROOK ELEMENTARY,96,91,2015
HAYWARD UNIFIED,6000996,ALAMEDA,PUBLIC,HARDER ELEMENTARY,99,95,2015
HAYWARD UNIFIED,0131334,ALAMEDA,PUBLIC,HIGHLAND,,,2015
HAYWARD UNIFIED,0127696,ALAMEDA,PUBLIC,KNOWLEDGE ENLIGHTENS YOU -KEY- ACADEMY,69,68,2015
HAYWARD UNIFIED,6001044,ALAMEDA,PUBLIC,LONGWOOD ELEMENTARY,130,123,2015
HAYWARD UNIFIED,6001051,ALAMEDA,PUBLIC,LORIN A. EDEN ELEMENTARY,57,57,2015
HAYWARD UNIFIED,6001093,ALAMEDA,PUBLIC,PALMA CEIA ELEMENTARY,82,82,2015
HAYWARD UNIFIED,6001101,ALAMEDA,PUBLIC,PARK ELEMENTARY,115,106,2015
HAYWARD UNIFIED,6001127,ALAMEDA,PUBLIC,RUUS ELEMENTARY,97,97,2015
HAYWARD UNIFIED,6001135,ALAMEDA,PUBLIC,SCHAFER PARK ELEMENTARY,123,121,2015
HAYWARD UNIFIED,6001176,ALAMEDA,PUBLIC,SOUTHGATE ELEMENTARY,118,116,2015
HAYWARD UNIFIED,0111815,ALAMEDA,PUBLIC,STONEBRAE ELEMENTARY,111,106,2015
