district,sch_code,county,pub_priv,school,enrollment,complete,start_year
CYPRESS ELEMENTARY,6027841,ORANGE,PUBLIC,JULIET MORRIS ELEMENTARY,80,78,2015
CYPRESS ELEMENTARY,6027858,ORANGE,PUBLIC,MARGARET LANDELL ELEMENTARY,126,126,2015
CYPRESS ELEMENTARY,6027874,ORANGE,PUBLIC,STEVE LUTHER ELEMENTARY,66,60,2015
FOUNTAIN VALLEY ELEMENTARY,6094635,ORANGE,PUBLIC,COURREGES -ROCH- ELEMENTARY,107,106,2015
FOUNTAIN VALLEY ELEMENTARY,6066922,ORANGE,PUBLIC,COX -JAMES H.- ELEMENTARY,114,113,2015
FOUNTAIN VALLEY ELEMENTARY,6027973,ORANGE,PUBLIC,GISLER -ROBERT- ELEMENTARY,86,81,2015
FOUNTAIN VALLEY ELEMENTARY,6027999,ORANGE,PUBLIC,NEWLAND -WILLIAM T.- ELEMENTARY,82,74,2015
FOUNTAIN VALLEY ELEMENTARY,6068605,ORANGE,PUBLIC,OKA -ISOJIRO- ELEMENTARY,60,55,2015
FOUNTAIN VALLEY ELEMENTARY,6085278,ORANGE,PUBLIC,PLAVAN -URBAIN H.- ELEMENTARY,82,82,2015
FOUNTAIN VALLEY ELEMENTARY,6027924,ORANGE,PUBLIC,TAMURA -HISAMATSU- ELEMENTARY,96,94,2015
FULLERTON ELEMENTARY,6028005,ORANGE,PUBLIC,ACACIA ELEMENTARY,96,93,2015
FULLERTON ELEMENTARY,6028013,ORANGE,PUBLIC,BEECHWOOD ELEMENTARY,99,97,2015
FULLERTON ELEMENTARY,6028021,ORANGE,PUBLIC,COMMONWEALTH ELEMENTARY,50,50,2015
FULLERTON ELEMENTARY,6028039,ORANGE,PUBLIC,FERN DRIVE ELEMENTARY,95,87,2015
FULLERTON ELEMENTARY,6028054,ORANGE,PUBLIC,GOLDEN HILL ELEMENTARY,97,94,2015
FULLERTON ELEMENTARY,6028062,ORANGE,PUBLIC,HERMOSA DRIVE ELEMENTARY,43,40,2015
FULLERTON ELEMENTARY,6028088,ORANGE,PUBLIC,LAGUNA ROAD ELEMENTARY,87,85,2015
FULLERTON ELEMENTARY,6113617,ORANGE,PUBLIC,MAPLE ELEMENTARY,41,41,2015
FULLERTON ELEMENTARY,6028112,ORANGE,PUBLIC,ORANGETHORPE ELEMENTARY,102,100,2015
FULLERTON ELEMENTARY,6028120,ORANGE,PUBLIC,PACIFIC DRIVE ELEMENTARY,94,88,2015
FULLERTON ELEMENTARY,6028138,ORANGE,PUBLIC,RAYMOND ELEMENTARY,82,79,2015
FULLERTON ELEMENTARY,6028146,ORANGE,PUBLIC,RICHMAN ELEMENTARY,142,140,2015
FULLERTON ELEMENTARY,0102582,ORANGE,PUBLIC,ROBERT C. FISLER ELEMENTARY,81,81,2015
FULLERTON ELEMENTARY,6028153,ORANGE,PUBLIC,ROLLING HILLS ELEMENTARY,95,87,2015
FULLERTON ELEMENTARY,6028161,ORANGE,PUBLIC,SUNSET LANE ELEMENTARY,140,135,2015
FULLERTON ELEMENTARY,6028179,ORANGE,PUBLIC,VALENCIA PARK ELEMENTARY,77,76,2015
FULLERTON ELEMENTARY,6028195,ORANGE,PUBLIC,WOODCREST ELEMENTARY,57,53,2015
GARDEN GROVE UNIFIED,6028211,ORANGE,PUBLIC,A. J. COOK ELEMENTARY,47,47,2015
GARDEN GROVE UNIFIED,6028229,ORANGE,PUBLIC,AGNES WARE STANLEY ELEMENTARY,46,44,2015
GARDEN GROVE UNIFIED,6028252,ORANGE,PUBLIC,BROOKHURST ELEMENTARY,77,75,2015
GARDEN GROVE UNIFIED,6028260,ORANGE,PUBLIC,BRYANT ELEMENTARY,100,98,2015
GARDEN GROVE UNIFIED,6028278,ORANGE,PUBLIC,C. C. VIOLETTE ELEMENTARY,78,78,2015
GARDEN GROVE UNIFIED,6028294,ORANGE,PUBLIC,CLINTON ELEMENTARY,95,95,2015
GARDEN GROVE UNIFIED,6028310,ORANGE,PUBLIC,DWIGHT D. EISENHOWER ELEMENTARY,110,109,2015
GARDEN GROVE UNIFIED,6028328,ORANGE,PUBLIC,EARL WARREN ELEMENTARY,95,95,2015
GARDEN GROVE UNIFIED,6028336,ORANGE,PUBLIC,EDWARD RUSSELL ELEMENTARY,111,109,2015
GARDEN GROVE UNIFIED,6028500,ORANGE,PUBLIC,ENDERS ELEMENTARY,76,73,2015
GARDEN GROVE UNIFIED,6028344,ORANGE,PUBLIC,ERNEST O. LAWRENCE ELEMENTARY,97,93,2015
GARDEN GROVE UNIFIED,6028369,ORANGE,PUBLIC,ETHAN B. ALLEN ELEMENTARY,54,51,2015
GARDEN GROVE UNIFIED,6028377,ORANGE,PUBLIC,ETHEL M. EVANS ELEMENTARY,69,68,2015
GARDEN GROVE UNIFIED,6028385,ORANGE,PUBLIC,EXCELSIOR ELEMENTARY,69,67,2015
GARDEN GROVE UNIFIED,6028393,ORANGE,PUBLIC,FAYLANE ELEMENTARY,71,71,2015
GARDEN GROVE UNIFIED,6028401,ORANGE,PUBLIC,GARDEN PARK ELEMENTARY,32,28,2015
GARDEN GROVE UNIFIED,6028419,ORANGE,PUBLIC,GENEVIEVE M. CROSBY ELEMENTARY,64,63,2015
GARDEN GROVE UNIFIED,6028435,ORANGE,PUBLIC,GILBERT ELEMENTARY,86,84,2015
GARDEN GROVE UNIFIED,6028443,ORANGE,PUBLIC,HERITAGE ELEMENTARY,80,79,2015
GARDEN GROVE UNIFIED,6028518,ORANGE,PUBLIC,JOHN MARSHALL ELEMENTARY,59,56,2015
GARDEN GROVE UNIFIED,6028526,ORANGE,PUBLIC,JOHN MURDY ELEMENTARY,59,56,2015
GARDEN GROVE UNIFIED,6028542,ORANGE,PUBLIC,LEO CARRILLO ELEMENTARY,57,57,2015
GARDEN GROVE UNIFIED,6028575,ORANGE,PUBLIC,LINTON T. SIMMONS ELEMENTARY,71,71,2015
GARDEN GROVE UNIFIED,6028583,ORANGE,PUBLIC,LOUIS G. ZEYEN ELEMENTARY,46,45,2015
GARDEN GROVE UNIFIED,6028609,ORANGE,PUBLIC,LOYAL BARKER ELEMENTARY,65,63,2015
GARDEN GROVE UNIFIED,6085294,ORANGE,PUBLIC,MAMIE L. NORTHCUTT ELEMENTARY,75,71,2015
GARDEN GROVE UNIFIED,6028641,ORANGE,PUBLIC,MERTON E. HILL ELEMENTARY,71,62,2015
GARDEN GROVE UNIFIED,6028658,ORANGE,PUBLIC,MITCHELL ELEMENTARY,65,65,2015
GARDEN GROVE UNIFIED,6028666,ORANGE,PUBLIC,MORNINGSIDE ELEMENTARY,67,66,2015
GARDEN GROVE UNIFIED,6028674,ORANGE,PUBLIC,NEWHOPE ELEMENTARY,65,65,2015
GARDEN GROVE UNIFIED,6028682,ORANGE,PUBLIC,OCIA A. PETERS ELEMENTARY,137,134,2015
GARDEN GROVE UNIFIED,6028690,ORANGE,PUBLIC,PARKVIEW ELEMENTARY,69,65,2015
GARDEN GROVE UNIFIED,6028427,ORANGE,PUBLIC,PATTON ELEMENTARY,116,115,2015
GARDEN GROVE UNIFIED,6028708,ORANGE,PUBLIC,POST ELEMENTARY,71,67,2015
GARDEN GROVE UNIFIED,6028716,ORANGE,PUBLIC,R. F. HAZARD ELEMENTARY,79,78,2015
GARDEN GROVE UNIFIED,6028724,ORANGE,PUBLIC,RIVERDALE ELEMENTARY,85,85,2015
GARDEN GROVE UNIFIED,6028732,ORANGE,PUBLIC,ROSITA ELEMENTARY,86,86,2015
GARDEN GROVE UNIFIED,6028765,ORANGE,PUBLIC,STANFORD ELEMENTARY,93,89,2015
GARDEN GROVE UNIFIED,6028781,ORANGE,PUBLIC,SUNNYSIDE ELEMENTARY,96,89,2015
GARDEN GROVE UNIFIED,6028799,ORANGE,PUBLIC,SUSAN B. ANTHONY ELEMENTARY,46,46,2015
GARDEN GROVE UNIFIED,6028807,ORANGE,PUBLIC,THOMAS PAINE ELEMENTARY,71,60,2015
GARDEN GROVE UNIFIED,6028815,ORANGE,PUBLIC,WAKEHAM ELEMENTARY,46,43,2015
GARDEN GROVE UNIFIED,6028823,ORANGE,PUBLIC,WOODBURY ELEMENTARY,82,78,2015
HUNTINGTON BEACH CITY ELEMENTARY,6028831,ORANGE,PUBLIC,AGNES L. SMITH ELEMENTARY,115,76,2015
HUNTINGTON BEACH CITY ELEMENTARY,6116065,ORANGE,PUBLIC,HUNTINGTON SEACLIFF ELEMENTARY,108,98,2015
HUNTINGTON BEACH CITY ELEMENTARY,6028864,ORANGE,PUBLIC,JOHN H. EADER ELEMENTARY,106,96,2015
HUNTINGTON BEACH CITY ELEMENTARY,6028872,ORANGE,PUBLIC,JOHN R. PETERSON ELEMENTARY,108,88,2015
HUNTINGTON BEACH CITY ELEMENTARY,6028880,ORANGE,PUBLIC,JOSEPH R. PERRY ELEMENTARY,58,54,2015
HUNTINGTON BEACH CITY ELEMENTARY,6094643,ORANGE,PUBLIC,RALPH E. HAWES ELEMENTARY,113,104,2015
HUNTINGTON BEACH CITY ELEMENTARY,6095111,ORANGE,PUBLIC,S. A. MOFFETT ELEMENTARY,86,81,2015
IRVINE UNIFIED,6100838,ORANGE,PUBLIC,ALDERWOOD ELEMENTARY,115,108,2015
IRVINE UNIFIED,6097042,ORANGE,PUBLIC,BONITA CANYON ELEMENTARY,47,43,2015
IRVINE UNIFIED,6102719,ORANGE,PUBLIC,BRYWOOD ELEMENTARY,64,62,2015
IRVINE UNIFIED,6115455,ORANGE,PUBLIC,CANYON VIEW ELEMENTARY,87,83,2015
IRVINE UNIFIED,6089437,ORANGE,PUBLIC,COLLEGE PARK ELEMENTARY,94,88,2015
IRVINE UNIFIED,6089429,ORANGE,PUBLIC,CULVERDALE ELEMENTARY,95,76,2015
IRVINE UNIFIED,0129155,ORANGE,PUBLIC,CYPRESS VILLAGE ELEMENTARY,206,161,2015
IRVINE UNIFIED,6096184,ORANGE,PUBLIC,DEERFIELD ELEMENTARY,105,89,2015
IRVINE UNIFIED,6100317,ORANGE,PUBLIC,EASTSHORE ELEMENTARY,75,70,2015
IRVINE UNIFIED,6089445,ORANGE,PUBLIC,GREENTREE ELEMENTARY,65,54,2015
IRVINE UNIFIED,6106850,ORANGE,PUBLIC,MEADOW PARK ELEMENTARY,92,83,2015
IRVINE UNIFIED,6100861,ORANGE,PUBLIC,NORTHWOOD ELEMENTARY,70,63,2015
IRVINE UNIFIED,6120141,ORANGE,PUBLIC,OAK CREEK ELEMENTARY,117,108,2015
IRVINE UNIFIED,6115786,ORANGE,PUBLIC,PLAZA VISTA,130,124,2015
IRVINE UNIFIED,0129296,ORANGE,PUBLIC,PORTOLA SPRINGS ELEMENTARY,136,129,2015
IRVINE UNIFIED,6098529,ORANGE,PUBLIC,SANTIAGO HILLS ELEMENTARY,98,91,2015
IRVINE UNIFIED,6107502,ORANGE,PUBLIC,SPRINGBROOK ELEMENTARY,111,104,2015
IRVINE UNIFIED,6096200,ORANGE,PUBLIC,STONE CREEK ELEMENTARY,62,58,2015
IRVINE UNIFIED,6096192,ORANGE,PUBLIC,STONEGATE ELEMENTARY,124,122,2015
IRVINE UNIFIED,6068647,ORANGE,PUBLIC,TURTLE ROCK ELEMENTARY,131,127,2015
IRVINE UNIFIED,6030191,ORANGE,PUBLIC,UNIVERSITY PARK ELEMENTARY,107,100,2015
IRVINE UNIFIED,6094718,ORANGE,PUBLIC,VISTA VERDE,82,72,2015
IRVINE UNIFIED,6108799,ORANGE,PUBLIC,WESTPARK ELEMENTARY,143,141,2015
IRVINE UNIFIED,6085344,ORANGE,PUBLIC,WOODBURY ELEMENTARY,188,181,2015
LA HABRA CITY ELEMENTARY,6028930,ORANGE,PUBLIC,ARBOLITA ELEMENTARY,151,149,2015
LA HABRA CITY ELEMENTARY,6028948,ORANGE,PUBLIC,EL CERRITO ELEMENTARY,131,128,2015
LA HABRA CITY ELEMENTARY,6028963,ORANGE,PUBLIC,LADERA PALMA ELEMENTARY,165,158,2015
LA HABRA CITY ELEMENTARY,6028971,ORANGE,PUBLIC,LAS LOMAS ELEMENTARY,144,144,2015
LAGUNA BEACH UNIFIED,6028906,ORANGE,PUBLIC,EL MORRO ELEMENTARY,89,71,2015
LAGUNA BEACH UNIFIED,6028922,ORANGE,PUBLIC,TOP OF THE WORLD ELEMENTARY,67,57,2015
LOS ALAMITOS UNIFIED,6029045,ORANGE,PUBLIC,FRANCIS HOPKINSON ELEMENTARY,128,123,2015
LOS ALAMITOS UNIFIED,6030514,ORANGE,PUBLIC,J. H. MCGAUGH ELEMENTARY,171,162,2015
LOS ALAMITOS UNIFIED,6029052,ORANGE,PUBLIC,JACK L. WEAVER ELEMENTARY,135,133,2015
LOS ALAMITOS UNIFIED,6029060,ORANGE,PUBLIC,LOS ALAMITOS ELEMENTARY,120,116,2015
LOS ALAMITOS UNIFIED,6029078,ORANGE,PUBLIC,RICHARD HENRY LEE ELEMENTARY,130,126,2015
LOS ALAMITOS UNIFIED,6029086,ORANGE,PUBLIC,ROSSMOOR ELEMENTARY,119,113,2015
MAGNOLIA ELEMENTARY,6029110,ORANGE,PUBLIC,ALBERT SCHWEITZER ELEMENTARY,118,118,2015
MAGNOLIA ELEMENTARY,6029128,ORANGE,PUBLIC,BADEN-POWELL ELEMENTARY,128,121,2015
MAGNOLIA ELEMENTARY,6029136,ORANGE,PUBLIC,ESTHER L. WALTER ELEMENTARY,100,99,2015
MAGNOLIA ELEMENTARY,6029144,ORANGE,PUBLIC,JONAS E. SALK ELEMENTARY,136,134,2015
MAGNOLIA ELEMENTARY,6029151,ORANGE,PUBLIC,JULIETTE LOW ELEMENTARY,120,119,2015
MAGNOLIA ELEMENTARY,6029169,ORANGE,PUBLIC,MATTIE LOU MAXWELL ELEMENTARY,131,129,2015
MAGNOLIA ELEMENTARY,6029177,ORANGE,PUBLIC,PETER MARSHALL ELEMENTARY,99,99,2015
MAGNOLIA ELEMENTARY,6029185,ORANGE,PUBLIC,ROBERT M. PYLES ELEMENTARY,144,144,2015
MAGNOLIA ELEMENTARY,6029193,ORANGE,PUBLIC,WALT DISNEY ELEMENTARY,75,73,2015
NEWPORT-MESA UNIFIED,6029219,ORANGE,PUBLIC,ABRAHAM LINCOLN ELEMENTARY,74,62,2015
NEWPORT-MESA UNIFIED,6029227,ORANGE,PUBLIC,ADAMS ELEMENTARY,77,69,2015
NEWPORT-MESA UNIFIED,6029268,ORANGE,PUBLIC,CALIFORNIA ELEMENTARY,66,54,2015
NEWPORT-MESA UNIFIED,6029300,ORANGE,PUBLIC,COLLEGE PARK ELEMENTARY,84,77,2015
NEWPORT-MESA UNIFIED,6068399,ORANGE,PUBLIC,EASTBLUFF ELEMENTARY,60,45,2015
NEWPORT-MESA UNIFIED,6029326,ORANGE,PUBLIC,EVERETT A. REA ELEMENTARY,80,79,2015
NEWPORT-MESA UNIFIED,6029334,ORANGE,PUBLIC,HARBOR VIEW ELEMENTARY,59,43,2015
NEWPORT-MESA UNIFIED,6029375,ORANGE,PUBLIC,KILLYBROOKE ELEMENTARY,71,61,2015
NEWPORT-MESA UNIFIED,6029391,ORANGE,PUBLIC,MARINERS ELEMENTARY,129,108,2015
NEWPORT-MESA UNIFIED,6029409,ORANGE,PUBLIC,MAUDE B. DAVIS ELEMENTARY,75,64,2015
NEWPORT-MESA UNIFIED,6118236,ORANGE,PUBLIC,NEWPORT COAST ELEMENTARY,73,66,2015
NEWPORT-MESA UNIFIED,6029433,ORANGE,PUBLIC,NEWPORT ELEMENTARY,70,58,2015
NEWPORT-MESA UNIFIED,6029441,ORANGE,PUBLIC,NEWPORT HEIGHTS ELEMENTARY,97,75,2015
NEWPORT-MESA UNIFIED,6029458,ORANGE,PUBLIC,PAULARINO ELEMENTARY,79,62,2015
NEWPORT-MESA UNIFIED,6029466,ORANGE,PUBLIC,POMONA ELEMENTARY,86,85,2015
NEWPORT-MESA UNIFIED,6089460,ORANGE,PUBLIC,ROY O. ANDERSEN ELEMENTARY,43,36,2015
NEWPORT-MESA UNIFIED,6029482,ORANGE,PUBLIC,SONORA ELEMENTARY,81,81,2015
NEWPORT-MESA UNIFIED,6029490,ORANGE,PUBLIC,VICTORIA ELEMENTARY,50,46,2015
NEWPORT-MESA UNIFIED,6029516,ORANGE,PUBLIC,WHITTIER ELEMENTARY,123,117,2015
NEWPORT-MESA UNIFIED,6029524,ORANGE,PUBLIC,WILSON ELEMENTARY,87,73,2015
NEWPORT-MESA UNIFIED,6107833,ORANGE,PUBLIC,WOODLAND ELEMENTARY,186,151,2015
OCEAN VIEW,6029540,ORANGE,PUBLIC,CIRCLE VIEW ELEMENTARY,108,98,2015
OCEAN VIEW,6029557,ORANGE,PUBLIC,COLLEGE VIEW ELEMENTARY,70,59,2015
OCEAN VIEW,6071104,ORANGE,PUBLIC,GOLDEN VIEW ELEMENTARY,86,83,2015
OCEAN VIEW,6029581,ORANGE,PUBLIC,HARBOUR VIEW ELEMENTARY,144,134,2015
OCEAN VIEW,6029607,ORANGE,PUBLIC,HOPE VIEW ELEMENTARY,161,153,2015
OCEAN VIEW,6029615,ORANGE,PUBLIC,LAKE VIEW ELEMENTARY,37,34,2015
OCEAN VIEW,6029656,ORANGE,PUBLIC,OAK VIEW ELEMENTARY,110,94,2015
OCEAN VIEW,6029706,ORANGE,PUBLIC,STAR VIEW ELEMENTARY,105,104,2015
OCEAN VIEW,6029714,ORANGE,PUBLIC,SUN VIEW ELEMENTARY,74,69,2015
OCEAN VIEW,6029722,ORANGE,PUBLIC,VILLAGE VIEW ELEMENTARY,103,99,2015
OCEAN VIEW,6029730,ORANGE,PUBLIC,WESTMONT ELEMENTARY,57,53,2015
ORANGE COUNTY DEPARTMENT OF EDUCATION,3030632,ORANGE,PUBLIC,OCCS:CHEP PCHS,60,50,2015
ORANGE COUNTY DEPARTMENT OF EDUCATION,6069553,ORANGE,PUBLIC,ORANGE COUNTY SPECIAL EDUCATION,13,13,2015
ORANGE UNIFIED,6097364,ORANGE,PUBLIC,ANAHEIM HILLS ELEMENTARY,57,57,2015
ORANGE UNIFIED,6029748,ORANGE,PUBLIC,CALIFORNIA ELEMENTARY,95,89,2015
ORANGE UNIFIED,6029755,ORANGE,PUBLIC,CAMBRIDGE ELEMENTARY,64,64,2015
ORANGE UNIFIED,6114565,ORANGE,PUBLIC,CANYON RIM ELEMENTARY,118,105,2015
ORANGE UNIFIED,6107767,ORANGE,PUBLIC,CHAPMAN HILLS ELEMENTARY,79,76,2015
ORANGE UNIFIED,6029763,ORANGE,PUBLIC,CRESCENT ELEMENTARY,108,105,2015
ORANGE UNIFIED,6029771,ORANGE,PUBLIC,ESPLANADE ELEMENTARY,47,47,2015
ORANGE UNIFIED,6029789,ORANGE,PUBLIC,FAIRHAVEN ELEMENTARY,94,92,2015
ORANGE UNIFIED,6029797,ORANGE,PUBLIC,FLETCHER ELEMENTARY,111,96,2015
ORANGE UNIFIED,6029805,ORANGE,PUBLIC,HANDY ELEMENTARY,67,64,2015
ORANGE UNIFIED,6096333,ORANGE,PUBLIC,IMPERIAL ELEMENTARY,86,78,2015
ORANGE UNIFIED,6029821,ORANGE,PUBLIC,JORDAN ELEMENTARY,43,43,2015
ORANGE UNIFIED,6029862,ORANGE,PUBLIC,LA VETA ELEMENTARY,92,91,2015
ORANGE UNIFIED,6029854,ORANGE,PUBLIC,LAMPSON ELEMENTARY,164,146,2015
ORANGE UNIFIED,6071112,ORANGE,PUBLIC,LINDA VISTA ELEMENTARY,55,53,2015
ORANGE UNIFIED,6058945,ORANGE,PUBLIC,MCPHERSON MAGNET,85,81,2015
ORANGE UNIFIED,6071120,ORANGE,PUBLIC,NOHL CANYON ELEMENTARY,55,51,2015
ORANGE UNIFIED,6029870,ORANGE,PUBLIC,OLIVE ELEMENTARY,61,61,2015
ORANGE UNIFIED,6029888,ORANGE,PUBLIC,PALMYRA ELEMENTARY,84,82,2015
ORANGE UNIFIED,6029896,ORANGE,PUBLIC,PANORAMA ELEMENTARY,59,58,2015
ORANGE UNIFIED,6029912,ORANGE,PUBLIC,PROSPECT ELEMENTARY,55,54,2015
ORANGE UNIFIED,6116586,ORANGE,PUBLIC,RUNNING SPRINGS ELEMENTARY,112,98,2015
ORANGE UNIFIED,6029938,ORANGE,PUBLIC,SERRANO ELEMENTARY,77,75,2015
ORANGE UNIFIED,6029953,ORANGE,PUBLIC,SYCAMORE ELEMENTARY,54,53,2015
ORANGE UNIFIED,6029961,ORANGE,PUBLIC,TAFT ELEMENTARY,110,102,2015
ORANGE UNIFIED,6029979,ORANGE,PUBLIC,VILLA PARK ELEMENTARY,70,66,2015
ORANGE UNIFIED,6029987,ORANGE,PUBLIC,WEST ORANGE ELEMENTARY,105,99,2015
PLACENTIA-YORBA LINDA UNIFIED,6029995,ORANGE,PUBLIC,BROOKHAVEN ELEMENTARY,112,108,2015
PLACENTIA-YORBA LINDA UNIFIED,6109102,ORANGE,PUBLIC,BRYANT RANCH ELEMENTARY,133,121,2015
PLACENTIA-YORBA LINDA UNIFIED,6030001,ORANGE,PUBLIC,CHARLES WAGNER ELEMENTARY,57,53,2015
PLACENTIA-YORBA LINDA UNIFIED,6071146,ORANGE,PUBLIC,FAIRMONT ELEMENTARY,185,173,2015
PLACENTIA-YORBA LINDA UNIFIED,6030027,ORANGE,PUBLIC,GLENKNOLL ELEMENTARY,63,61,2015
PLACENTIA-YORBA LINDA UNIFIED,6085641,ORANGE,PUBLIC,GLENVIEW ELEMENTARY,81,74,2015
PLACENTIA-YORBA LINDA UNIFIED,6030035,ORANGE,PUBLIC,GOLDEN ELEMENTARY,66,64,2015
PLACENTIA-YORBA LINDA UNIFIED,6097018,ORANGE,PUBLIC,JOHN O. TYNES ELEMENTARY,133,131,2015
PLACENTIA-YORBA LINDA UNIFIED,0109678,ORANGE,PUBLIC,LAKEVIEW ELEMENTARY,103,97,2015
PLACENTIA-YORBA LINDA UNIFIED,6095160,ORANGE,PUBLIC,LINDA VISTA ELEMENTARY,60,54,2015
PLACENTIA-YORBA LINDA UNIFIED,6030936,ORANGE,PUBLIC,MABEL M. PAINE ELEMENTARY,139,127,2015
PLACENTIA-YORBA LINDA UNIFIED,0102897,ORANGE,PUBLIC,MELROSE ELEMENTARY,99,96,2015
PLACENTIA-YORBA LINDA UNIFIED,6030050,ORANGE,PUBLIC,MORSE AVENUE ELEMENTARY,92,92,2015
PLACENTIA-YORBA LINDA UNIFIED,6030076,ORANGE,PUBLIC,RIO VISTA ELEMENTARY,168,167,2015
PLACENTIA-YORBA LINDA UNIFIED,6030951,ORANGE,PUBLIC,ROSE DRIVE ELEMENTARY,107,91,2015
PLACENTIA-YORBA LINDA UNIFIED,6030084,ORANGE,PUBLIC,RUBY DRIVE ELEMENTARY,43,43,2015
PLACENTIA-YORBA LINDA UNIFIED,6030092,ORANGE,PUBLIC,SIERRA VISTA ELEMENTARY,80,77,2015
PLACENTIA-YORBA LINDA UNIFIED,6085633,ORANGE,PUBLIC,TOPAZ ELEMENTARY,118,114,2015
PLACENTIA-YORBA LINDA UNIFIED,6106009,ORANGE,PUBLIC,TRAVIS RANCH,157,143,2015
PLACENTIA-YORBA LINDA UNIFIED,6030100,ORANGE,PUBLIC,VAN BUREN ELEMENTARY,100,96,2015
PLACENTIA-YORBA LINDA UNIFIED,6097000,ORANGE,PUBLIC,WOODSBORO ELEMENTARY,37,37,2015
SADDLEBACK VALLEY UNIFIED,6109540,ORANGE,PUBLIC,CIELO VISTA ELEMENTARY,105,96,2015
SADDLEBACK VALLEY UNIFIED,6068639,ORANGE,PUBLIC,CORDILLERA ELEMENTARY,87,84,2015
SADDLEBACK VALLEY UNIFIED,6085336,ORANGE,PUBLIC,DE PORTOLA ELEMENTARY,58,52,2015
SADDLEBACK VALLEY UNIFIED,6071153,ORANGE,PUBLIC,DEL CERRO ELEMENTARY,69,61,2015
SADDLEBACK VALLEY UNIFIED,6101059,ORANGE,PUBLIC,DEL LAGO ELEMENTARY,57,55,2015
SADDLEBACK VALLEY UNIFIED,6112577,ORANGE,PUBLIC,FOOTHILL RANCH ELEMENTARY,175,144,2015
SADDLEBACK VALLEY UNIFIED,6089502,ORANGE,PUBLIC,GLEN YERMO ELEMENTARY,130,100,2015
SADDLEBACK VALLEY UNIFIED,6097372,ORANGE,PUBLIC,LA MADERA ELEMENTARY,54,54,2015
SADDLEBACK VALLEY UNIFIED,6110845,ORANGE,PUBLIC,LAKE FOREST ELEMENTARY,95,92,2015
SADDLEBACK VALLEY UNIFIED,6030159,ORANGE,PUBLIC,LINDA VISTA ELEMENTARY,53,53,2015
SADDLEBACK VALLEY UNIFIED,6094668,ORANGE,PUBLIC,LOMARENA ELEMENTARY,150,86,2015
SADDLEBACK VALLEY UNIFIED,6114888,ORANGE,PUBLIC,MELINDA HEIGHTS ELEMENTARY,123,107,2015
SADDLEBACK VALLEY UNIFIED,6089494,ORANGE,PUBLIC,MONTEVIDEO ELEMENTARY,47,46,2015
SADDLEBACK VALLEY UNIFIED,6030175,ORANGE,PUBLIC,OLIVEWOOD ELEMENTARY,120,95,2015
SADDLEBACK VALLEY UNIFIED,6110936,ORANGE,PUBLIC,PORTOLA HILLS ELEMENTARY,101,84,2015
SADDLEBACK VALLEY UNIFIED,6030183,ORANGE,PUBLIC,RALPH A. GATES ELEMENTARY,132,125,2015
SADDLEBACK VALLEY UNIFIED,6096044,ORANGE,PUBLIC,RANCHO CANADA ELEMENTARY,101,95,2015
SADDLEBACK VALLEY UNIFIED,6112452,ORANGE,PUBLIC,ROBINSON ELEMENTARY,82,76,2015
SADDLEBACK VALLEY UNIFIED,6094676,ORANGE,PUBLIC,SAN JOAQUIN ELEMENTARY,39,30,2015
SADDLEBACK VALLEY UNIFIED,6085351,ORANGE,PUBLIC,SANTIAGO ELEMENTARY,50,48,2015
SADDLEBACK VALLEY UNIFIED,6030530,ORANGE,PUBLIC,TRABUCO ELEMENTARY,10,6,2015
SADDLEBACK VALLEY UNIFIED,6106926,ORANGE,PUBLIC,TRABUCO MESA ELEMENTARY,88,63,2015
SADDLEBACK VALLEY UNIFIED,6066872,ORANGE,PUBLIC,VALENCIA ELEMENTARY,81,80,2015
SANTA ANA UNIFIED,6030308,ORANGE,PUBLIC,ABRAHAM LINCOLN ELEMENTARY,166,166,2015
SANTA ANA UNIFIED,6030209,ORANGE,PUBLIC,ADAMS ELEMENTARY,93,92,2015
SANTA ANA UNIFIED,6030217,ORANGE,PUBLIC,ANDREW JACKSON ELEMENTARY,174,163,2015
SANTA ANA UNIFIED,6030225,ORANGE,PUBLIC,CARL HARVEY ELEMENTARY,56,56,2015
SANTA ANA UNIFIED,6030233,ORANGE,PUBLIC,DIAMOND ELEMENTARY,104,104,2015
SANTA ANA UNIFIED,0101626,ORANGE,PUBLIC,EDWARD B. COLE ACADEMY,63,63,2015
SANTA ANA UNIFIED,6119127,ORANGE,PUBLIC,EL SOL SANTA ANA SCIENCE AND ARTS ACADEMY,121,91,2015
SANTA ANA UNIFIED,6095152,ORANGE,PUBLIC,FRANKLIN ELEMENTARY,62,62,2015
SANTA ANA UNIFIED,6102875,ORANGE,PUBLIC,FREDERICK REMINGTON ELEMENTARY,64,64,2015
SANTA ANA UNIFIED,6030266,ORANGE,PUBLIC,FREMONT ELEMENTARY,123,120,2015
SANTA ANA UNIFIED,6108484,ORANGE,PUBLIC,GARFIELD ELEMENTARY,172,170,2015
SANTA ANA UNIFIED,6110175,ORANGE,PUBLIC,GEORGE WASHINGTON CARVER ELEMENTARY,156,155,2015
SANTA ANA UNIFIED,6099816,ORANGE,PUBLIC,GREENVILLE FUNDAMENTAL ELEMENTARY,173,170,2015
SANTA ANA UNIFIED,0116582,ORANGE,PUBLIC,HEROES ELEMENTARY,100,97,2015
